,,Weight,"Annual 
inflation","Monthly 
inflation"
category family,All Items,100,12.3,0.3
main category 1,FOOD AND NON-ALCOHOLIC BEVERAGES,32.7,0.7,-2.6
sub category 1.1,Food,31.3,0.4,-2.8
sub item 1.1,Bread and cereals,3.9,4.6,0.1
sub item 1.1,Meat,9.3,-1.8,-1.4
sub item 1.1,Fish and seafood,2.3,4.5,-0.8
sub item 1.1,"Milk, cheese and eggs",4.8,0.5,-1.3
sub item 1.1,Oils and fats,2.6,3.5,0.3
sub item 1.1,Fruit,1.9,29.9,-1.7
sub item 1.1,Vegetables,4.4,-15.5,-14.9
sub item 1.1,"Suger ,jam,honey,chocolate and confectionery",1.6,2.4,0.2
sub item 1.1,Other Food products,0.6,3.2,0.1
sub category 1.2,Non-Alcoholic Beverages,1.4,7.2,0.6
sub item 1.2,"Coffee,tea and cocoa",1.0,5.6,0.6
sub item 1.2,"Mineral waters,soft drinks,fruit and vegetable juices",0.4,11.0,0.6
main category  2,ALCOHOLIC BEVERAGES & TOBACCO ,4.4,17.7,0.6
sub item 2,Alcoholic beverages,0.0,22.1,0.4
sub item 2,Tobacco,4.4,17.7,0.6
main category 3,CLOTHING AND FOOTWEAR,4.4,14.9,1.5
sub category 3.1,Clothing,3.4,15.8,1.7
sub item 3.1,Clothing materials,0.0,19.1,2.3
sub item 3.1,Garments,3.1,15.7,1.9
sub item 3.1,Other clothes and accessories,0.1,17.2,1.2
sub item 3.1,"Cleaning,repair and hire of clothing",0.2,15.3,-0.2
sub category 3.2,Footwear,1.0,11.6,0.8
sub item 3.2,Shoes and other Footwear,1.0,11.4,0.8
sub item 3.2,Repair and hire of Footwear,0.0,23.7,0.1
main category 4,"HOUSING,WATER,ELECTRICITY,GAS & FUELS",19.5,27.9,1.9
sub item 4,Actual rentals for housing,1.9,15.2,2.1
sub item 4,Imputed rentals for housing,11.6,44.5,2.1
sub item 4,Maintenance and repair of the dwelling,0.6,13.7,1.5
sub item 4,Water supply and miscellaneous services relating to the dwelling,1.6,3.9,0.6
sub item 4,"Electricity, gas and other fuels",3.7,12.6,1.9
main category  5,"FURNISHINGS, HOUSEHOLD'S EQUIPMENT & MAINTENANCE",0.0,12.4,1.8
sub item 5,"Furniture, furnishings, carpets and other floor coverings",0.0,11.4,1.0
sub item 5,Household Textiles,0.0,14.5,1.9
sub item 5,Household appliances,0.0,11.1,0.1
sub item 5,"Glassware, tableware and household utensils",0.0,14.8,1.5
sub item 5,Tools and equipment for house and garden,0.0,16.7,3.7
sub item 5,Goods and services for routine household maintenance,0.0,12.3,2.0
main category 6,HEALTH,0.1,28.6,0.7
sub item 6,"Medical products, appliances and equipment",0.1,36.4,0.0
sub item 6,Out-patient services,0.0,12.9,1.3
sub item 6,Hospital services,0.0,17.2,2.7
main category 7,TRANSPORT,0.1,28.9,9.8
sub item 7,Purchase of vehicles,0.0,20.3,4.6
sub item 7,Operation of personal transport equipment,0.0,32.7,6.3
sub item 7,Transport services,0.0,28.1,12.5
main category 8,COMMUNICATIONS,0.0,11.7,0.0
sub item 8,Postal services,0.0,26.8,0.0
sub item 8,Telephone and telefax services,0.0,7.6,0.5
sub item 8,Telephone and fax service,0.0,12.0,0.0
main category 9,RECREATION AND CULTURE,0.0,14.6,0.2
sub item 9,"Audio,visual,photographic, information processing equipment",0.0,5.7,0.8
sub item 9,"Other recreational items and equipment, gardens and pets",0.0,12.6,0.8
sub item 9,Recreational items and equipment,0.0,22.0,0.2
sub item 9,"Newspapers, books and stationery",0.0,15.5,0.3
sub item 9,Package holidays,0.0,13.3,0.1
main category 10,EDUCATION,0.1,11.2,0.0
sub item 10,Pre- primary and primary education,0.0,12.2,0.0
sub item 10,Secondary education,0.0,7.5,0.0
sub item 10,Post-Secondary Non- Tertiary education,0.0,5.0,0.0
sub item 10,Tertiary education,0.0,12.2,0.0
sub item 10,Unspecified level of education,0.0,29.6,0.0
main category 11,RESTAURANTS AND HOTELS,0.0,13.4,1.2
sub item 11,Catering services,0.0,13.3,1.2
sub item 11,Accommodation services,0.0,20.3,1.6
main category 12,MISCELLANEOUS GOODS AND SERVICES,0.0,11.3,1.5
sub item 12,Personal care,0.0,12.9,2.1
sub item 12,Personal effects,0.0,21.6,0.3
sub item 12,Insurance,0.0,0.0,0.0
sub item 12,Other services,0.0,4.0,0.1
